1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,432,0,3,48,3,1774,774,1,2007,1828,3,11694,90,452,108,5,9,1822,2007,2007,314813
894,764,2,1,673,1,894,308,1,1962,894,2,6600,60,178,64,5,5,894,1962,1962,109500
964,809,2,1,713,5,163,432,1,1921,964,2,13360,80,226,36,7,5,876,1921,2006,163500
1689,1037,3,1,1218,6,350,857,2,2002,1689,3,13265,73,148,59,5,8,1568,2002,2002,271000
1541,732,3,1,719,1,1541,843,2,2001,1541,3,13704,118,150,81,5,7,1541,2001,2002,205000
1221,766,2,1,410,6,811,400,2,2004,1221,3,7500,62,150,113,5,7,1221,2004,2005,185000
1324,984,3,1,643,3,445,440,2,1965,1324,2,8658,84,101,138,5,6,1088,1965,1965,160000
696,720,3,1,604,5,92,484,1,1999,1416,3,2572,24,74,44,5,7,696,1999,1999,155000
526,462,2,4,462,6,428,297,1,1973,988,2,1596,21,117,101,5,4,462,1973,1973,91000
869,349,3,1,375,5,360,440,1,2003,1218,2,6000,60,135,240,6,6,735,1941,1987,131000
760,896,3,1,319,1,746,397,3,2003,1656,3,6931,60,92,128,5,7,746,2003,2004,165400
1362,887,2,3,20,5,1342,460,2,2005,1362,3,7577,61,256,28,5,6,1362,2005,2006,194700
1051,788,4,1,507,1,756,442,1,1966,1839,2,7700,70,351,124,5,6,756,1966,1966,155000
1375,886,2,1,24,1,1367,451,1,1954,1375,2,11310,75,336,30,5,6,1367,1954,1954,140000
1122,521,2,1,144,6,172,528,1,1948,1122,3,12000,100,132,36,7,5,924,1948,2005,147000
1432,1818,2,4,680,5,289,588,1,1978,1432,3,16157,90,448,180,7,5,1360,1978,1978,194000
728,728,3,3,1236,1,728,400,3,2007,1456,3,9018,65,189,24,5,7,728,2007,2007,179540
1217,1101,3,3,611,6,577,497,1,1990,1217,3,9947,87,302,27,5,7,1188,1990,1991,173000
1040,456,2,0,1154,0,792,625,1,1950,1040,2,7200,60,101,32,7,5,1396,1950,1965,109500
612,612,2,3,294,6,318,528,2,2009,1224,3,3000,30,76,234,5,6,612,2009,2009,173733
1022,752,2,1,281,1,952,468,1,1931,1774,2,6120,51,294,64,5,7,952,1931,1994,129900
961,406,4,1,241,3,229,384,1,1978,1367,2,8405,50,337,130,8,5,861,1900,1997,119000
803,557,2,1,686,1,803,297,3,1951,1360,3,7200,60,109,65,6,5,803,1938,1995,125500
848,785,1,3,697,6,151,420,2,2004,848,3,4426,80,147,66,5,6,848,2004,2004,149300
1482,780,3,4,871,6,611,749,3,2003,2262,3,12244,85,226,36,5,8,1482,2003,2003,305000
1220,728,2,1,836,2,248,396,1,1951,1220,2,8877,67,70,33,5,4,836,1951,1951,102000
